BrandName,Name,Category,FinalPrice
,Kenmore 60492  18.3 cu. ft. Top-Freezer Refrigerator with Glass Shelves - White,Appliances_Refrigerators_Top Freezer Refrigerators,
,Frigidaire Gallery GRMC2273CF 21.5 cu. ft. Counter-Depth 4-Door French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,Haier QHE16HYPFS 16.8 Cu. Ft. Quad Door Refrigerator - Stainless Steel,Appliances_Refrigerators_Side-by-Side Refrigerators,
,Frigidaire FRTD2021AW  20.5 cu. ft. Top Freezer Refrigerator &#8211; White,Appliances_Refrigerators_Top Freezer Refrigerators,
,Frigidaire FRTD2021AS  20.5 cu. ft. Top Freezer Refrigerator &#8211; Stainless Steel,Appliances_Refrigerators_Top Freezer Refrigerators,
,Frigidaire FRFS2823AD  27.8 cu. ft. French Door Refrigerator &#8211; Black Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,"GE Appliances PSB48YSNSS Profile 48"" Smart Side By Side Refrigerator with Dispenser",Appliances_Refrigerators_Side-by-Side Refrigerators,
,Kenmore Elite 73315 30.6 cu. ft. Large Capacity Smart French Door Refrigerator - Fingerprint Resistant Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,GE Appliances GTS19KYNRFS GE  19.2 Cu. Ft. Top-Freezer Refrigerator - Fingerprint Resistant Stainless,Appliances_Refrigerators_Top Freezer Refrigerators,
,Kenmore 60499  18.3 cu. ft. Top-Freezer Refrigerator - Textured Black,Appliances_Refrigerators_Top Freezer Refrigerators,
,Samsung RF27T5501SR/AA 27 cu. ft. French Door Refrigerator with Family Hub&#8482; -  Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,GE Appliances GNE25JYKFS ENERGY STAR&#174; 24.7 Cu. Ft. French-Door Refrigerator - Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,Kenmore 60495  18.3 cu. ft. Top-Freezer Refrigerator with Glass Shelves - Fingerprint Resistant Stainless Steel Look Finish,Appliances_Refrigerators_Top Freezer Refrigerators,
,Frigidaire Gallery GRSS2652AF  25.6 cu. ft. Side-by-Side Refrigerator with Ice & Water Dispenser &#8211; Smudge-Proof&#174; Stainless Steel,Appliances_Refrigerators_Side-by-Side Refrigerators,
,Frigidaire FRSS2623AS 25.6 cu. ft. Side-by-Side Refrigerator &#8211; Stainless Steel,Appliances_Refrigerators_Side-by-Side Refrigerators,
,"LG LFDS22520S-1 30"" 22 cu.ft. Stainless Steel French Door Refrigerator and Bottom Freezer",Appliances_Refrigerators_French Door Refrigerators,
,Frigidaire Gallery GRFS2853AF  27.8 cu. ft. French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,Samsung RF28R7201SR 28 cu. ft. 4-Door French Door Refrigerator - Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,GE Appliances GWE19JYLFS ENERGY STAR&#174; 18.6 Cu. Ft. Counter-Depth French-Door Refrigerator - Stainless Steel,Appliances_Refrigerators_French Door Refrigerators,
,GE Appliances GSS25GYPFS 25.3 Cu. Ft. Side-By-Side Refrigerator - Stainless Steel,Appliances_Refrigerators_Side-by-Side Refrigerators,
